"","x"
"11","                 i have to say  my first reaction walking out of the cinema was that it was great  probably an 8 10  you know there s so much fan service in this movie and i particularly loved the  i can do this all day  ca line from one ca to another  it was almost toy story 2  enlightened buzz to naive buzz banter i loved clever hulk  found thor hilarious  though a bit annoying at times  and loved the references to past movies  cap swinging mjollnir around was beautiful the deaths in this movie were also pretty surprising but i agree with some of the more balanced reviews in here that it was bizarre that so much time was spent on hawkeye   does anyone really care about him  not really killing off black widow was a surprising touch  but i  like many others  probably felt more of an emotional reaction to banner s relationship with her and not hawkeye  because no one actually cares about him   renner  as an actor  just doesn t cut it much  unfortunately the real problem with end game  is the time travel  i don t know why any movie franchise would ever want to deal with time travel knowing how much grief it creates  sure they try to explain everything with their hilarious conversation about movies  but in the end  there are just too many questions left at the end of the day  particularly when they already try to explain it through the ancient one the most glaring one of these is  if they change the past  they re changing another timeline  so how selfish is that  if tony stark snaps his fingers and kills thanos  what happens to that original timeline  if he sent thanos and everyone back  how does he magically know not to send gamora back who is now stuck in 2023   and so does that mean 2014 quill never meets gamora    what the hell  essentially erasing the entire 2014 gotg franchise in that universe  if captain america goes back in time  he will inevitably change history in some way or another  so that is another timeline  right  so while everyone else s timeline is meant to stay the same in the present  as said by stark  how does cap end up sitting by the same lake as everyone else there are also way too many questions about new timelines created   but perhaps that is intentional  such as the loki tv show  but this is why i hate it when they bring time travel into any movie and just add stuff to it to make it wrap up nicely in their own universe also  don t get me started on how impossibly strong thanos suddenly is without an infinity gauntlet  even with the ig he couldn t stop thor s stormbringer  but now without the ig can easily defeat thor with stormbringer and mjollnir  iron man and cap    how convenient i also think marvel made a serious mistake creating captain marvel  how is she brought in as a convenient deus ex machina and yet doesn t really stick around to show off all her abilities  and she can t even defeat thanos single handedly  pfft  that was rich  she can barely prevent thanos from snapping his fingers  yet in infinity war  cap was able to actually hold off his hand too  bizarre parallels so okay  sure  it was enjoyable to watch  but i just feel that there are too many plot inconsistencies creeping into end game  there should have been better ways to get the infinity stones back  and i think someone stupid just thought time travel was the best way to do it                                        2 676 out of 4 680 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"12","                 i want to start out saying i love all the marvel movies leading up to endgame  i loved infinity war because it seemed to be setting up a terrific conclusion to the original 6 avengers story arc s  i was very wrong  let s start with tony s arc  in ironman 1 tony is told you are a man who has everything and nothing  in ironman 2 we find out his dad was distant and cold to him  and in ironman 3 he is getting panic attacks because he thinks it s up to him to save the world from all threats  so in endgame he finally gets everything that s important  he becomes a dad and husband and    was proven right by having to die saving the universe himself  why  because we are supposed to believe tony can t retire  of course he can  didn t he say to steve in aou  isn t that why we fight so we can end the fight  so we can go home   tony wanted to retire  tony s arc should have been about being a good dad like his father never was and finally becoming the man who has everything important  he should have learned that he doesn t have to do it all on his own  team work should have won the final battle  what s the point of finally getting all the avengers together if it s left to one man to sacrifice himself to save everyone  tony s ending was not satisfying and it was not the end they have been building towards from the beginning  now let s talk about the real tragedy in this movie  steve rogers character  we know he is a good man who always does what he believes is right  he calls home the avengers facility and says he can t ignore a situation that s headed south  he loved peggy but found out she had gotten married and had a happy life and he tried moving on with her niece  this storyline was ignored which was ok because most of steves storyline in the mcu has been about saving bucky  you remember him right  steve didn t seem to for the entire movie  instead of thinking about sam and bucky and all the people they are going to save if their plan works when they find thanos in the beginning of endgame steve s just looking at the peggy compass that he hasn t looked at in at least 3 movies  why  so we can all forget about his actual character development and think it s a great ending when he goes back in time to be with peggy  i m just going to ignore all the plot holes associated with steve going back in time and just focus on the character assasination this commits  this means the same guy who says he can t ignore a situation headed south  who never ran away from a fight  who said i m with you till the end of the line  to bucky is just going to live out his life in the past never saving his friend from being a brain washed assassin  never saving his other friends parents from being killed by his best friend  never stopping any of the thousands of bad things he would know are going to happen  that s not steve  the writers never let steve get a personal life  he never found someone after peggy and he never had anything except the avengers  he was the one that was set up to die  the final battle starts with what is probably the most epic scene in comic book movie history but fizzles our soon after  doctor stranges plan makes no sense  how was this the only way they could win  why couldn t captain marvel snap  why couldn t captain marvel just fly the gauntlet to another galaxy  why couldn t doctor strange open a portal and drop the gauntlet on some random planet  in infinity war why didn t doctor strange use his portal to go to wakanda and tell thor to aim for the head  the characters powers were very inconsistent for the first time in the mcu  why was thanos with no infinity stones able to fight mjolnir and storm breaker but thanos with all 6 stones would have lost to storm breaker if thor would have just aimed for the head  why can captain marvel fly through a huge spaceship 10 times but she gets knocked out after one punch from thanos  why does no one attack thanos at the same time as someone else  where s the big team up  you would think getting everyone together for the first time would have been the only way to defeat thanos  but you d be wrong because it s all about tony stark  even steve picking up mjolnir means nothing really because it has no affect on the end of the battle  thor and steve could be taken out of this movie and nothing would change  they do nothing of importance  this movie seems so disconnected from infinity war that it s boggles my mind how this movie has the same writers and directors as infinity war and it was filmed at the same time as infinity war  how can you get one so wrong and the other so right  it seems clear to me that the writers and directors decided that tony was dying and steve was going back to the past no matter how much their story suffered from doing it  it s like they had a check list of things to put in the movie without actually making a good story that fit in with the rest of their movies  this is by far the most dissapointing ending to anything i ve ever looked forward to                                       327 out of 551 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"13","                 3 hours out of my life i will never get back  not worth the hype  you think the soap opera is done by the ultimate battle  think again  let us milk it and release another spider man  geez a lou                                       198 out of 327 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"14","                 cheap dialogs  non sense violence  the only thing the movie has to offer is explosions  is it really that hard to make quality superhero movies  look at christopher nolan s series of batman movies  those are quality films  this movie is flat  it can be consumed as fast food  nothing to offer really                                      292 out of 491 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"15","                 so much advertising for a movie   i saw the avengers faces everywhere   even on cola s cans at the supermarket    was it worth it  nope  it was boring                                       223 out of 371 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"16","                 endgame is a much less interesting and visually engaging movie than infinity war  i don t understand all the crazy hype and 8 8 on imdb is stupid  this is why i m giving it one star  to mitigate the stupidity as everyone expected  remaining avengers use time travel to try to fix things  yet even for a marvel movie the time travel science is confusing and ridiculous  as well as shown in a very boring way  i ve seen low budget movies that had better grasp on the scientific  logical and visual aspect of time travel the whole point of endgame is to resurrect the fallen avengers and other trillions of creatures across the galaxy  yet while doing it avengers end up losing irrevocably even more important members of the team  and the whole thing looks ill conceived a lot of time is spent on meaningless conversations  while the devastation thanos caused across the galaxy is barely shown  negating the past and current sacrifices of avengers i left infinity war wanting to see how the story ends  i left endgame feeling that i should ve waited for it to come out on netflix                                       223 out of 371 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"17","                 one of the best comic book movie villains was ruined  who writes this thing  time travel  really  result  film full of plot holes  unsatisfying deaths of main characters tony and natasha  previously cool   now ruined characters thor and hulk  i feel like thanos today                                       297 out of 500 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"18","                 what is this garbage  3 hours of absolutely nothing but awful dialogue and boring misplaced fight scenes  must be all the brainwashed marvel fanboys who gave this movie a top rating                                         182 out of 300 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"19","                 very long boring i give 1 star to make balance because every rate it 10 for nothing                                      231 out of 385 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"20","                 wow very cool  time travel  literally the laziest plot ever                                      310 out of 523 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"21","                 as a huge fan of marvel i can say that the characters i know and love that i expected to see in the grand finalé of a 22 movie saga  where nowhere to be found  fat thor was played off for jokes too much  captain america was more thor than actual thor  professor hulk was just a boring character  thanos was nothing like how he was in the infinitely superior  infinity war   time travel rules was just cheap writing  an easy way out of a complex predicament crafted by two people with minimal creative abilities  the plot was littered with holes and just boring  this movie was not exciting  one of my biggest problems was the stupid one liners and cheap jokes  this movie was not meant to be funny  there is room for humor  but there also needs to be room for plot and suspense and seriousness  another of my biggest problems was cap lifting mjolnir  i have no problem with him lifting it  but it was anti climactic  good idea  but butchered in execution  i don t say this lightly or out of arrogance or vanity  but i  as a 15 year old kid could have created a better movie  also  the greatest part of the film  joe russo got cast as the gay extra in his own movie                                       150 out of 245 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"22","                 worst movie i saw this year boring mess plot holes too cheesy bad writing                                      236 out of 394 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"23","                 1 2   terrible  scrap the whole thing   try again                                       236 out of 394 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"24","                 i haven t really been a fan of many of the marvel movies but gave this one a shot given all the hype  total waste of three hours  the time travel  plot holes and cheesy death scenes all were too confusing  these movies have consistently pandered to its audiences and this one was no different  if anything it was worse                                       136 out of 221 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"25","                 if you are a 7 years old kid or you have a 7 years old mind you will love this movie                                          136 out of 221 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
