,Date,Nox,NO2
187,15/10/2004,-4800,-4800
188,15/11/2004,5900,2344
189,15/12/2004,12999,2880
190,16/01/2005,5281,2687
191,16/02/2005,8382,3911
192,16/03/2004,3977,2518
193,16/03/2005,9297,3916
194,16/04/2004,4490,2415
195,16/05/2004,1648,1673
196,16/06/2004,2706,2056
197,16/07/2004,3566,2711
198,16/08/2004,1435,1343
199,16/09/2004,5797,1289
200,16/10/2004,-4800,-4800
201,16/11/2004,9580,3122
202,16/12/2004,17885,3548
203,17/01/2005,10468,3482
204,17/02/2005,5795,3257
205,17/03/2004,4399,2559
206,17/03/2005,8641,3775
207,17/04/2004,-3808,-3929
208,17/05/2004,2474,1909
209,17/06/2004,3043,2193
210,17/07/2004,1928,2000
211,17/08/2004,-1973,-2172
212,17/09/2004,5239,1799
213,17/10/2004,-4800,-4800
214,17/11/2004,12316,3426
215,17/12/2004,13178,3170
216,18/01/2005,13971,3734
217,18/02/2005,6320,3242
218,18/03/2004,3860,2678
219,18/03/2005,8999,3990
220,18/04/2004,-4800,-4800
221,18/05/2004,2905,2125
222,18/06/2004,2836,2423
223,18/07/2004,1256,1472
224,18/08/2004,-2541,-2673
225,18/09/2004,3950,1783
226,18/10/2004,-4800,-4800
227,18/11/2004,12560,4045
228,18/12/2004,6955,2376
229,19/01/2005,4262,2393
230,19/02/2005,6448,3738
231,19/03/2004,3942,2516
232,19/03/2005,6374,3397
233,19/04/2004,-4800,-4800
234,19/05/2004,2921,2404
235,19/06/2004,1417,1586
236,19/07/2004,3128,2607
237,19/08/2004,16,72
238,19/09/2004,4757,2145
239,19/10/2004,-4800,-4800
240,19/11/2004,9511,3283
241,19/12/2004,8421,2767
242,20/01/2005,9210,2946
243,20/02/2005,3279,2363
244,20/03/2004,2835,2038
245,20/03/2005,5260,2726
246,20/04/2004,-4800,-4800
247,20/05/2004,3073,2410
248,20/06/2004,1276,1463
249,20/07/2004,3292,2611
250,20/08/2004,-4800,-4800
251,20/09/2004,6361,2309
252,20/10/2004,1845,-2082
253,20/11/2004,8182,3289
254,20/12/2004,4983,2228
255,21/01/2005,13557,3554
256,21/02/2005,5913,3487
257,21/03/2004,2487,1851
258,21/03/2005,7645,3276
259,21/04/2004,-4800,-4800
260,21/05/2004,3125,2291
261,21/06/2004,2382,1966
262,21/07/2004,2741,2402
263,21/08/2004,-4800,-4800
264,21/09/2004,7576,2831
265,21/10/2004,7637,1715
266,21/11/2004,6925,3114
267,21/12/2004,7612,2854
268,22/01/2005,12275,4054
269,22/02/2005,6625,3860
270,22/03/2004,2664,1882
271,22/03/2005,6982,2969
272,22/04/2004,-4800,-4800
273,22/05/2004,2439,1912
274,22/06/2004,3710,2222
275,22/07/2004,3513,2644
276,22/08/2004,-4800,-4800
277,22/09/2004,6928,2688
278,22/10/2004,7406,1929
279,22/11/2004,16060,4070
280,22/12/2004,7715,2898
281,23/01/2005,5234,3082
282,23/02/2005,6201,3859
283,23/03/2004,2707,2031
284,23/03/2005,9113,3379
285,23/04/2004,2997,1565
286,23/05/2004,1518,1375
287,23/06/2004,3888,2350
288,23/07/2004,2839,2250
289,23/08/2004,-1203,-1346
290,23/09/2004,5702,2411
291,23/10/2004,7433,1838
292,23/11/2004,19291,3549
293,23/12/2004,13527,3758
294,24/01/2005,4090,2416
295,24/02/2005,8562,4469
296,24/03/2004,2767,2020
297,24/03/2005,10028,3261
298,24/04/2004,2460,1910
299,24/05/2004,1907,1558
300,24/06/2004,1912,1665
301,24/07/2004,1485,1413
302,24/08/2004,1908,1725
303,24/09/2004,6832,2101
304,24/10/2004,4972,1501
305,24/11/2004,13583,2708
306,24/12/2004,13308,3630
307,25/01/2005,3191,2049
308,25/02/2005,6505,2819
309,25/03/2004,2459,1854
310,25/03/2005,8875,3295
311,25/04/2004,1361,1263
312,25/05/2004,-350,-766
313,25/06/2004,3069,2223
314,25/07/2004,906,1098
315,25/08/2004,1853,1530
316,25/09/2004,2309,675
317,25/10/2004,10944,1994
318,25/11/2004,11980,2743
319,25/12/2004,10036,3195
320,26/01/2005,3543,2311
321,26/02/2005,5015,2779
322,26/03/2004,2585,1926
323,26/03/2005,6049,2557
324,26/04/2004,1801,1578
325,26/05/2004,-2417,-2569
326,26/06/2004,1972,1801
327,26/07/2004,1956,1968
328,26/08/2004,1607,1420
329,26/09/2004,4325,1606
330,26/10/2004,10577,2322
331,26/11/2004,17280,3474
332,26/12/2004,4987,2201
333,27/01/2005,4288,2677
334,27/02/2005,4623,2733
335,27/03/2004,2368,1940
336,27/03/2005,4438,2222
337,27/04/2004,2730,1976
338,27/05/2004,-4800,-4800
339,27/06/2004,1559,1723
340,27/07/2004,1956,1859
341,27/08/2004,2275,1811
342,27/09/2004,6851,2289
343,27/10/2004,7150,1969
344,27/11/2004,13476,2808
345,27/12/2004,5011,2293
346,28/01/2005,4507,2967
347,28/02/2005,3487,2129
348,28/03/2004,1800,1620
349,28/03/2005,4865,2473
350,28/04/2004,3430,2373
351,28/05/2004,-1874,-2020
352,28/06/2004,2926,2367
353,28/07/2004,2169,1917
354,28/08/2004,-1455,-1421
355,28/09/2004,8681,2870
356,28/10/2004,8625,1913
357,28/11/2004,6705,1968
358,28/12/2004,-4435,-4499
359,29/01/2005,2625,1872
360,29/03/2004,1962,1745
361,29/03/2005,7264,2952
362,29/04/2004,4010,2218
363,29/05/2004,1660,1611
364,29/06/2004,3163,2530
365,29/07/2004,2555,2312
366,29/08/2004,-4800,-4800
367,29/09/2004,7694,2819
368,29/10/2004,7420,2197
369,29/11/2004,9150,2357
370,29/12/2004,-4800,-4800
371,30/01/2005,2833,2026
372,30/03/2004,2920,2152
373,30/03/2005,6269,2931
374,30/04/2004,3830,2183
375,30/05/2004,1363,1520
376,30/06/2004,3535,2802
377,30/07/2004,2484,2346
378,30/08/2004,-4800,-4800
379,30/09/2004,1500,-900
380,30/10/2004,8861,2327
381,30/11/2004,7389,2394
382,30/12/2004,-4800,-4800
383,31/01/2005,8702,3625
384,31/03/2004,2596,2018
385,31/03/2005,4442,2417
386,31/05/2004,2461,1941
387,31/07/2004,2013,2053
388,31/08/2004,-1245,-2143
389,31/10/2004,5737,1390
390,31/12/2004,-4800,-4800
